match	result
Saksa-Skotlanti	1
Unkari-Sveitsi	2
Saksa-Unkari	1
Skotlanti-Sveitsi	x
Sveitsi-Saksa	
Skotlanti-Unkari	
Espanja-Kroatia	1
Italia-Albania	1
Kroatia-Albania	x
Espanja-Italia	
Albania-Espanja	
Kroatia-Italia	
Slovenia-Tanska	x
Serbia-Englanti	2
Slovenia-Serbia	x
Tanska-Englanti	x
Englanti-Slovenia	
Tanska-Serbia	
Puola-Hollanti	2
Itävalta-Ranska	2
Puola-Itävalta	
Hollanti-Ranska	
Hollanti-Itävalta	
Ranska-Puola	
Romania-Ukraina	1
Belgia-Slovakia	2
Slovakia-Ukraina	
Belgia-Romania	
Slovakia-Romania	
Ukraina-Belgia	
Turkki-Georgia	1
Portugali-Tšekki	1
Georgia-Tšekki	
Turkki-Portugali	
Georgia-Portugali	
Tšekki-Turkki	
